minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group_le,neighbourhood_le,room_type_le,price
0.39912354514358245,-0.48187503618678534,-0.10657039172228586,-0.7855928682348459,2,92,0,165
-0.38681987677390645,0.011921874140858891,-0.10657039172228586,-0.5456080458080603,2,93,1,146
-0.38681987677390645,-0.5462833288382172,-0.10657039172228586,-0.7855928682348459,2,90,0,150
0.7920952561023269,-0.5248138979544066,0.03415125723146176,-0.07363789503538215,2,90,0,200
0.006151834184838019,-0.46040560530297475,-0.10657039172228586,-0.7855928682348459,2,60,1,75
0.006151834184838019,0.39837163004945003,-0.10657039172228586,-0.48961158724181036,3,115,1,55
-0.7797915877326509,-0.48187503618678534,0.690852285682284,1.7662457435699734,3,21,1,135
0.39912354514358245,-0.15983357292962605,-0.10657039172228586,-0.1296343536016321,1,59,1,55
-0.38681987677390645,-0.48187503618678534,-0.10657039172228586,-0.1776313180869892,2,92,1,65
0.006151834184838019,-0.13836414204581543,-0.10657039172228586,2.1182234831292592,1,27,1,149
0.006151834184838019,-0.33158902000011103,-0.10657039172228586,-0.7855928682348459,2,203,1,60
-0.38681987677390645,-0.3101195891163004,-0.10657039172228586,-0.07363789503538215,1,27,1,90
1.5780386780198157,-0.46040560530297475,0.4563162040927046,2.0222295541585447,2,36,1,169
-0.7797915877326509,-0.009547556742951728,-0.10657039172228586,-0.7855928682348459,1,27,1,40
-0.38681987677390645,0.07633016679229075,-0.10657039172228586,-0.7855928682348459,2,110,0,175
2.756953810896049,-0.24571129646486853,-0.10657039172228586,-0.729596409668596,2,63,1,67
2.756953810896049,-0.5462833288382172,-0.10657039172228586,-0.7855928682348459,1,50,1,40
-0.7797915877326509,-0.5462833288382172,-0.10657039172228586,-0.7855928682348459,1,12,0,65
-0.7797915877326509,-0.052486418510572966,0.03415125723146176,-0.16963182400609636,1,211,1,400
0.006151834184838019,-0.503344467070596,-0.10657039172228586,-0.7855928682348459,3,108,0,159
-0.7797915877326509,-0.48187503618678534,-0.10657039172228586,-0.7855928682348459,1,83,1,70
0.7920952561023269,-0.5248138979544066,-0.10657039172228586,-0.7855928682348459,1,56,1,58
-0.38681987677390645,-0.2242418655810579,-0.10657039172228586,-0.025640930550025042,2,92,1,60
